text,section,header,div,p,s,id
"This sample size has been shown to be sufficient to fit moderately complex structural equation models with adequate power (e.g., Wolf, Harrington, Clark, & Miller, 2013).",intro,[div-01],1,3,2,0956797617710785
"This sample size has been shown to be sufficient to fit moderately complex structural equation models with adequate power (e.g., Wolf, Harrington, Clark, & Miller, 2013).",method,Sample,4,1,2,0956797617710785
"Although signaling wealth through greater consumption acts as a way for poorer groups to restore feelings of self-integrity (Sivanathan & Pettit, 2010) and personal power (Rucker & Galinsky, 2008, 2009), conspicuous consumption can also perpetuate financial hardship because it limits self-investment (Moav & Neeman, 2012).",intro,Short Report,1,1,2,0956797617714811
"These methods were used in the context of a larger study; sample size from that study was determined to be sufficient to detect the hypothesized associations between oxytocin and targets' perceptions if the effect were moderate in size, at 94% power, so all available urine samples were assayed.",method,Design and procedure,7,2,7,0956797617716922
"To date, however, fWHR research has not produced strong evidence for such links; male fWHR has been reported to correlate only weakly with some of the Psychopathic Personality Inventory-Revised scales (Anderl et al., 2016;Geniole et al., 2014) and with Anderson's Personal Sense of Power scale (Haselhuhn & Wong, 2012).",intro,[div-01],1,1,10,0956797617716929
Power analysis for RSA is not straightforward.,method,Sample,3,1,9,0956797617724435
"We used G*Power 3.1 (Faul, Erdfelder, Buchner, & Lang, 2009) to calculate desired sample sizes.",method,Method,3,2,1,0956797617737129
"We based our power analysis on previous research on the optimistic learning bias (Garrett & Sharot, 2014;Garrett et al., 2014;Korn et al., 2014;Kuzmanovic et al., 2015;Moutsiana et al., 2013;Sharot, Guitart-Masip, et al., 2012;Sharot, Kanai, et al., 2012;Sharot et al., 2011) Time Fig.",method,Method,3,2,2,0956797617737129
"To achieve a power of .90, we needed a sample of 67 participants.",method,Method,3,3,3,0956797617737129
We needed 100 participants per condition for a power of .80.,method,Method,6,1,3,0956797617737129
"To obtain .90 power to detect the effect size in the difference between identifiable and unidentifiable strangers found in Study 2a, we aimed to recruit 470 participants after exclusion of participants with a BDI score higher than 12.",method,Method,6,2,2,0956797617737129
"Our goal was to obtain .90 power to detect a small effect size (f ) of .1 at the standard .05 alpha error probability; therefore, we aimed to recruit 280 participants with a BDI score lower than 12 (see the preregistered material for further details).",method,Method,9,1,3,0956797617737129
"To achieve a power of .90, we needed a sample of 67 participants, and for a medium correlation (r = .3) between learning bias and charity donation, we needed 80 participants per condition for a power of .80.",method,Method,12,1,3,0956797617737129
"Power analyses, measures, conditions, and exclusions are reported in the Supplemental Material available online.",intro,The Present Investigation,4,1,2,0956797617739368
"For example, we did not have enough statistical power to examine interactions between the polygenic score and SES, and we restricted our analyses to two broad indicators of antisocial behavior-criminal offending and life-course-persistent antisocial behavior-rather than zooming in on finer distinctions.",discussion,Discussion,18,5,2,0956797617744542
"To increase power and reduce the number of significance tests, we combined the data of the 4-and 5-, 6-and 7-, 8-and 9-, 10-and 11-, and 17-to 19-year-olds, resulting in five groups.",method,Dependent variables and analyses,7,3,3,0956797618755322
"Note that women's masculinity preferences tended to be stronger when they were using the combined oral contraceptive pill (although not significantly so), suggesting that a lack of power did not prevent detection of the hypothesized weaker masculinity preferences when women are using the combined oral contraceptive pill.",results,Hypothesis 4: do facial-masculinity preferences change when women start or stop using the combined oral contraceptive pill?,12,1,7,0956797618760197
"Several studies across different cultures have found an association between a relatively tall stature and holding a position of power (Handwerker & Crosbie, 1982;Werner, 1982).",intro,[div-01],1,1,2,0956797618772822
"In the dictator game, one player has unconditional power over resource allocation, while in the ultimatum game, that player's allocation decision can be rejected-thus posing a risk of retaliation by the opponent.",intro,Overview of Studies,3,1,3,0956797618772822
"In Study 1, opponent height did not affect resource allocation in the dictator game, but having a taller opponent was related to taking more resources in the dictator game (allocator has unconditional power) compared with the ultimatum game (allocator has conditional power, opponent can retaliate).",discussion,Discussion,15,1,6,0956797618772822
"The results imply that participant height is most important in predicting competitive behaviors in an absolute-power situation (the dictator game), regardless of opponent height.",discussion,Discussion,15,2,1,0956797618772822
"In line with recent guidance (Finkel, Eastwick, & Reis, 2015), as well as recruitment and financial constraints, the sample size was decided prior to data collection on the basis of the large sample sizes used in previous relationship studies (e.g., McNulty et al., 2013) and combined with a diary design to maximize statistical power.",method,Participants,7,1,2,0956797618785899
"Whereas the predictive power of self-report measures has been challenged ( Joel et al., 2017), the present multimethod approach provides new insights that may help relationship research move forward.",discussion,Discussion,16,5,3,0956797618785899
"Once results were obtained, a power analysis (paired-samples t test, Cohen's d = 0.6, α = .05, one-tailed) indicated a minimum of 19 participants to reach a power of .8 (the effect size from Experiment 1 was computed as if reflecting a between-participants design, and thus, this power analysis revealed itself to be conservative).",method,Participants,3,2,3,0956797618795679
There are at least two interpretations of these new results: One interpretation is that the original study lacked sufficient power to detect an interaction effect.,intro,PSYCHOLOGICAL SCIENCE,1,6,1,0956797618815482
"Indeed, the study had 46% power to detect a mediumsized effect (OR = 2 or Cohen's d = 0.30).",intro,PSYCHOLOGICAL SCIENCE,1,6,2,0956797618815482
"More generally, any factor affecting the distribution of p values and their frequency in the interval .05 to .10, such as the statistical power of research, p hacking, or merely the reporting of statistical results, will affect the percentage of articles reporting one or more results as marginally significant.",intro,[div-01],1,1,7,0956797619830326
"Using the same data set as Hartgerink (2016), we also extracted information on the degrees of freedom across disciplines for a supplementary analysis of statistical power in psychology articles.",method,Data,3,3,1,0956797619830326
"Consecutively, this frequency of p values is affected by trends in the reporting of p values and trends in the statistical power of psychological research over time, although there is, at most, a small increase in power over time in our data (see the Supplemental Material).",results,Psychology and its disciplines,8,3,4,0956797619830326
"Note that possible trends in p-value reporting and power do not affect the percentage of p values reported as marginally significant, as that percentage is conditional on the p value being between .05 and .10.",results,Psychology and its disciplines,8,3,5,0956797619830326
This sample size was large enough for even small effects to be detected with 80% power (at α = .05).,method,Participants,3,1,10,0956797619835147
"Second, a simulation demonstrated that data sets of similar magnitude and distributional properties could have, in principle, favored alternative models with close to 100% power.",abstract,Abstract,0,1,5,0956797619841265
"Simulating data in this manner also allowed us to ask about power and model selection: If we fitted both the g-factor latent change score model and the more complex mutualism model to data generated under the g-factor model, how often did we (rightly) prefer the g-factor model?",results,Simulation,6,2,1,0956797619841265
"In 999 of 1,000 iterations, the g factor was preferred, suggesting 99.9% power to prefer the g-factor model if it was indeed the data-generating mechanism.",results,Simulation,6,3,2,0956797619841265
"Finally, we investigated statistical power within the latent change score model; given our sample size and model specification, what is our statistical power to detect a reliable parameter estimate for the key (coupling) parameters?",results,Simulation,6,4,1,0956797619841265
"With our current model specification and sample size, we had 73% power to detect a small coupling effect (r = .1, as defined by Gignac & Szodorai, 2016) but effectively 100% power to detect intermediate (r = .2) and large (r = .3) effects.",results,Simulation,6,4,4,0956797619841265
"Under the assumption of medium correlations between measurements (r = .3), an alpha error probability of .05, and a power of .8, we used G*Power (Faul, Erdfelder, Lang, & Buchner, 2007) to calculate that a total sample size of 37 would be required to achieve a medium effect size (η p 2 ) of .06 for betweenconditions differences.",method,Method,3,1,4,0956797619842261
"On the basis of a power analysis in G*Power 3 (Faul, Erdfelder, Lang, & Buchner, 2007), we estimated that a sample size of 24 would be needed to provide 80% statistical power to achieve a medium effect size (d = 0.6) on binary choices using a one-sample t test against a 50% chance level and an alpha of .05.",method,Method,3,1,2,0956797619842550
"Target sample size was determined in the same way as for Experiment 1, by conducting a power analysis in G*Power 3 (Faul et al., 2007).",method,Method,7,1,2,0956797619842550
It was estimated that a sample size of 24 would be needed to provide 80% statistical power.,method,Method,7,1,3,0956797619842550
We did not conduct formal power analyses prior to collecting data.,intro,[div-01],1,6,3,0956797619844231
"Such analyses are complex with multiple random effects because power varies with the number of stimuli, the number of participants, and the variance associated with each random effect (Westfall, Kenny, & Judd, 2014).",intro,[div-01],1,6,4,0956797619844231
"With 30 stimuli, a medium effect size (d) of 0.50, and reasonable assumptions about variance-partitioning components, power of .80 could be achieved with 30 participants (Westfall et al., 2014).",intro,[div-01],1,6,5,0956797619844231
"With 30 stimuli and a sample size of 100, our studies would have a power of at least .80 to detect an effect (d) of approximately 0.40.",intro,[div-01],1,6,9,0956797619844231
"On the basis of the standard errors of the estimates, we also computed the approximate statistical power (1 -β) of these tests for a significance level (α) of 1% to allow evaluation of the conclusiveness of nonsignificant effects.",results,Results,4,4,2,0956797619866627
"As an effect size under the alternative hypothesis, the median OR reported by Lu and colleagues (OR = 1.065) was used for the power calculations.",results,Results,4,4,3,0956797619866627
"Strikingly, even though the power was above 96% for all 15 crime types, only the OR for antisocial behavior was significant (OR = 1.025, p = .005), which was the most prevalent type of crime in the data set and included offenses such as nuisance, inconsiderate neighbors, vandalism, street drinking, Note: Percentages in the left-hand column refer to the relative frequency of the crime category relative to the total number of crimes.",results,Results,4,4,4,0956797619866627
"Moreover, the GAM used splines to model monthly seasonal trends and the geographic locations of districts, whereas the GLM assumed (discrete) fixed effects for months. b = estimate for the effect of the z-standardized pollution variable in a negative binomial regression; OR = odds ratio; 1 -β = approximate statistical power of the Wald test for a significance level (α) equal to 1% based on the median effect size reported by Lu, Lee, Gino, and Galinsky (2018; OR = 1.065); BF 01 = Bayes factor against the incremental effect of air pollution. littering, begging, or fireworks misuse.",results,Results,4,4,6,0956797619866627
"Likewise, none of the frequentist Wald tests were significant at the nominal level (α) of 1% despite the high statistical power for all dependent variables (1 -β ≥ 93%).",results,Results,4,5,3,0956797619866627
"That is, analyses of both Emotionality (p = .676) and its Anxiety facet (p = .652) clearly failed to reach statistical significance, whereas both tests had an approximate statistical power (1 -β) of 92% for detecting a small effect (i.e., an OR of 1.25 for a z-standardized predictor).",results,Results,7,1,6,0956797619866627
"This effect was replicated in Experiments 2 and 3, following a power analysis based on the data of Experiment 1.",intro,[div-01],1,6,2,0956797619869905
"For Experiment 2, the sample size was determined through a power analysis based on the data of Experiment 1.",method,Participants,3,3,1,0956797619869905
"This analysis revealed that a sample size of 25 participants was required to obtain 80% power to detect a difference in response times (RTs) between templatematching trials and template-mismatching trials at least as large as the one observed in Experiment 1, on the basis of a simple t contrast.",method,Participants,3,3,2,0956797619869905
"On the basis of the same power analysis, we continued data acquisition for Experiment 3 until 25 participants met our inclusion criteria (3 participants were replaced).",method,Participants,3,4,1,0956797619869905
The grand mean SSVEP signal was quantified by subtracting a prestimulus baseline (from -0.5 s to -0.25 s) from the SSVEP power.,method,Electroencephalogram,10,3,10,0956797619876260
"The main analysis focused on the difference in SSVEP power for a 1-s time window after the onset of the outcome stimulus (3-4 s), in contrast to the 1-s presentation of the second picture of the sequence (1.5-2.5 s), subtracted as a baseline.",method,Electroencephalogram,10,3,11,0956797619876260
"Subsequently, we averaged signal power at individual frequencies across occipital and parietal electrodes (O1, Oz, O2, P3, P4, Pz, P7, P8) for all statistical comparisons.",method,Electroencephalogram,10,3,12,0956797619876260
"The time-frequency heat maps display the spectral power at posterior electrodes (O1, Oz, O2, P3, P4, Pz, P7, P8) over time, and the line plots to the right of the heat maps show the averaged spectral power (0-4.5 s).",fig,Fig. 2 .,1,NA,4,0956797619876260
"In (b), the topographic maps display the difference in SSVEP power between the unexpected and the expected conditions in response to the outcome (3-4 s) and in contrast to the presentation of the second picture, which was used as a baseline (1.5-2.5 s).",fig,Fig. 2 .,1,NA,5,0956797619876260
The line plots display the spectral power at posterior electrodes for each outcome.,fig,Fig. 2 .,1,NA,8,0956797619876260
"It is also possible that compositionality increases in other areas, such as the VWFA, but the increase is undetectable because these areas have far fewer voxels and therefore weaker statistical power.",discussion,Discussion,13,6,2,0956797619881134
"Thus, we chose to assign all our participants to the text-completion and self-paced reading tasks in order to maximize statistical power for those tasks.",method,Method,5,2,4,0956797619890619
"Although the prime minister's political power will not be absolute, she will wield considerable influence in the government.",method,Method,5,4,3,0956797619890619
"Camerer et al. (2018) showed that the effect size of replications is on average about 50% of the original effect size, so we aimed for 90% power to detect an effect of half the original size (d = 0.29, i.e., 50% of 0.58; note that the preregistration incorrectly mentions 50% of d = 0.66, implying a lower minimum required sample size of 366).",method,Method,4,2,2,0956797620903716
"Third, we tested whether the power of polygenic scores was greater for individuals who were reared with their biological relatives than for adoptees.",method,Statistical analyses,4,3,2,0956797620904450
"Notably, this polygenic-score analysis is better powered than the SNP heritability analysis, because it capitalizes on the power of the large discovery sample (N = 643,003).",method,Statistical analyses,4,5,5,0956797620904450
We note that subsampling reduced the statistical power to detect differences within and between groups across time.,results,Supplemental analyses,11,7,5,0956797620904450
The difference between the variance explained in nonadopted individuals and adoptees suggests that about half of the predictive power of polygenic scores for educational attainment comes from passive gene-environment correlation.,discussion,Discussion,12,1,4,0956797620904450
"Thus, the effects of passive gene-environment correlation may contribute even more than half of the predictive power of polygenic scores for education, as we estimated here.",discussion,Discussion,12,4,6,0956797620904450
"However, highpowered preregistered studies (Garrison, Finley, & Schmeichel, 2019;Hagger et al., 2016), meta-analyses (Carter, Kofler, Forster, & McCullough, 2015), and theoretical reviews (Friese, Loschelder, Gieseler, Frankenbach, & Inzlicht, 2019;Inzlicht & Friese, 2019) suggest that laboratory depletion effects are small or potentially nonexistent and that previous work suffers from limitations such as ineffective experimental manipulations and low statistical power.",intro,[div-01],1,1,3,0956797620904990
"Second, we used a completely within-subjects design to reduce error variance and increase statistical power (Francis, Milyavskaya, Lin, & Inzlicht, 2018).",intro,Strong manipulation and withinsubjects design,4,1,4,0956797620904990
"We conducted sensitivity analyses using the Power Analysis for General ANOVA Designs program for the R Shiny app (Westfall, 2016), which suggested that roughly 130 participants would provide at least 80% statistical power to detect the hypothesized effect.",method,Participants,8,1,5,0956797620904990
"To reduce error variance and increase statistical power, we used within-subjects designs in all four studies.",method,Within-subjects design,9,1,1,0956797620904990
"Nevertheless, the small but meaningful effect size (reduced boundary effect: d = -0.15) suggests that researchers hoping to examine similar effects should use within-subjects designs to ensure sufficient statistical power, especially given that the boundary effect was present even after we accounted for within-subjects learning effects in our studies.",discussion,Discussion,29,6,4,0956797620904990
"From Experiment 3 onward, sample size was determined so as to reach a power of .9 for the context effect observed in Experiment 2 on the basis of a simplified, no-pooling version of the logistic regression model (we fitted a logistic function for each of the participants on noncentered data and then tested the mean context coefficient against zero), t(23) = 2.82, p < .01; Cohen's d = 0.58.",method,Participants,3,1,4,0956797620915887
"To determine our sample size for Experiment 1, we conducted an a priori power analysis with G*Power (Version 3.0; Faul, Erdfelder, Lang, & Buchner, 2007).",method,Method,3,1,2,0956797620916521
This analysis revealed that 27 participants per cell would be required to detect a medium-sized effect of 25% difference between conditions with 95% power and a .05 criterion of statistical significance.,method,Method,3,1,3,0956797620916521
"The parties were drawn from the same population of highly experienced MTurk workers, and they had similar power in the context of the experiments.",discussion,Discussion,12,4,4,0956797620916521
"The original dimensions included Collectivism-Individualism, Power Distance, Femininity-Masculinity, and Uncertainty Avoidance.",method,Data,7,2,3,0956797620916782
Power Distance is the extent to which the less powerful members of organizations and institutions (such as the family) accept and expect that power is distributed unequally.,method,Data,7,2,6,0956797620916782
"Hierarchy refers to unequal distribution of power, whereas egalitarianism refers to recognizing all people as moral equals.",method,Data,7,4,7,0956797620916782
"The next most commonly used and cited cultural dimension is probably Power Distance, which has the second highest correlation with the American scale.",results,Comparison with other measured psychological and cultural differences,14,3,5,0956797620916782
Societies with a larger power distance are more culturally distant to the United States.,results,Comparison with other measured psychological and cultural differences,14,3,6,0956797620916782
"The percentage of dropped wallets with money returned was taken from Figure 1 in the study by Cohn, Maréchal, Tannenbaum, and Zünd (2019). j Cultural distance was calculated following Kogut and Singh (1988) on the original four Hofstede dimensions (Power Distance, Individualism, Masculinity, and Uncertainty Avoidance; labeled ""original"") and on all six dimensions (labeled ""all""). k Geographic Distance data were taken from the Centre d'Études Prospectives et d'Informations Internationales (CEPII) GeoDist database (Mayer & Zignago, 2012).",annex,NA,19,1,1,0956797620916782
"However, sample sizes have varied considerably, and small but real age differences may have gone undetected because of low statistical power.",abstract,Abstract,0,3,2,0956797620927648
The study was highly powered and employed a CID-R task that evidence suggests is unaffected by explicit contamination.,intro,The Current Investigation,4,1,2,0956797620927648
"Many prior studies have used inappropriately small sample sizes, and small effects may have gone undetected because of low statistical power.",method,Participants and design,6,1,1,0956797620927648
"Rather, variations in the magnitude of age differences are likely due to a combination of issues with power and task reliability.",discussion,Discussion,14,5,11,0956797620927648
"The sample size was calculated on the basis of the expected effect size from a similar previous study (Aryani, Conrad, et al., 2018; minimum R 2 = 52.6%, d = 0.72) and assuming a power of 80%, resulting in a sample size of 32 participants per condition.",method,Method,8,2,5,0956797620927967
"Assuming an effect size (d) of 0.5 (a medium effect), this sample size provides adequate power of 80%.",method,Method,11,1,3,0956797620927967
"Our sample size was based on those used in previous research (Cartei et al., 2012;Cartei et al., 2019), and a power analysis in G*Power (Faul, Erdfelder, Lang, & Buchner, 2007) confirmed that our sample size (N = 82) would allow us to detect an effect as small as 0.15 with a power of .80, which was smaller than most effects reported in this article.",method,Statistical analyses,6,3,3,0956797620929297
"To power our experiment at 95% with the same effect size (0.25) as Wilson et al.'s, we required at least 250 participants.",method,Participants,3,1,5,0956797620929302
"This differs from the power-analysis calculation in our preregistration, in which we incorrectly stated that the power analysis suggested a total sample size of 280.",method,Participants,3,1,6,0956797620929302
"Hence, our final sample size provided more power than planned.",method,Participants,3,1,7,0956797620929302
"A sensitivity analysis (see the Supplemental Material available online) showed that our final sample size gave us 80% power to detect an effect size (f ) as small as 0.185, which is 25% smaller than the effect size reported by Wilson et al.",method,Participants,3,3,3,0956797620929302
"Prefixes also provide information about the kind of stem that is likely to follow (e.g., English ""de-"" attaches to verbal stems; Kîîtharaka ""tû-"" attaches to elements of the noun phrase), and learners have been shown to use the predictive power of preceding elements such as prefixes in both natural and artificial language-learning tasks (Dahan, Swingley, Tanenhaus, & Magnuson, 2000;Lew-Williams & Fernald, 2010;Ramscar, 2013;Van Heugten & Shi, 2009).",discussion,General Discussion,11,3,3,0956797620931108
"There have been a number of critiques concerning the conceptual clarity and potential lack of predictive power of dual-process theory (e.g., Keren & Schul, 2009).",intro,The Benefits of Cognitive-Process Diversity,1,2,1,0956797620941840
Perhaps the most telling way to answer this question is to compare the power of personality with the indisputable power of culture.,results,Results,10,5,3,0956797620951115
The power of culture can be estimated as the extent to which culture alters the association between religiosity and selfesteem.,results,Results,10,5,4,0956797620951115
"Analogously, the power of personality can be estimated as the extent to which personality alters the person-culture match effect.",results,Results,10,5,6,0956797620951115
"In the case of the Big Two, the power of culture was .11 (when the Big Two scales were constructed with the target-scale method), .11 (when the 1.",results,Results,10,5,8,0956797620951115
"Big Two scales were constructed with the ant-colony method), and .13 (when the Big Two scales were constructed with the brute-force method), and the power of personality was .15 (target scale), .22 (ant colony), and .21 (brute force).",results,Results,10,6,1,0956797620951115
"In the case of the Big Five, the power of culture was .08, and the power of personality was .38.",results,Results,10,6,2,0956797620951115
"Evidently, the power of personality surpassed the power of culture.",results,Results,10,6,3,0956797620951115
"Second, we compared the power of personality with the power of culture and found that the former generally surpassed the latter.",discussion,Discussion,11,4,6,0956797620951115
"Accordingly, our sample size was appropriate to detect an f(U) effect size of 1.0 with 85% power (η p 2 = .4, groups = 2, number of measurements = 4), given an alpha level of .05 and a nonsphericity correction of 1.",method,Participants,4,1,3,0956797620954815
"These studies used large samples (all had more than 280 participants, which would afford more than 90% power to detect an effect size [r] of .20 for a between-subjects design), and Jones et al. also collected repeated assessments of progesterone and disgust sensitivity within participants.",intro,[div-01],1,5,3,0956797620955209
"According to an analysis in G*Power (Version 3.9.1.7;Faul, Erdfelder, Buchner, & Lang, 2009), this sample size affords more than 99% power to detect an interaction effect (d) of 0.65 (equivalent to that reported in the original study).",method,Participants,3,1,5,0956797620955209
"For replication studies, Simonsohn (2015) recommends testing an effect size that an original study had 33% power to detect.",method,Analyses,8,2,5,0956797620955209
Samples 2.5 times larger than the original have roughly 80% power to reject population effect sizes of this magnitude.,method,Analyses,8,2,6,0956797620955209
"Given that the original study had 28 participants who had recently been ill and 66 who had not recently been ill, we set the equivalence bound (d z ) to 0.35-the effect size that the original design afforded 33% power to detect.",method,Analyses,8,3,2,0956797620955209
But can we reject the null of the effect size (d z ) being as large as ±0.35-what the original study had 33% power to detect?,results,Results,9,3,2,0956797620955209
"Because it was not possible to rely on prior research to determine the required sample size, we conducted a power analysis (using G*Power Version 3; Faul, Erdfelder, Lang, & Buchner, 2007) with power set at .80, a relatively conservative alpha of .01, and an intermediate effect size (f ) of .25.",method,Method,4,1,2,0956797620958638
"The mean relative changes in pupil size over this time window revealed a significant main effect for word familiarity, F(1, 29) = 47.81, p < .001, η p 2 = .62, observed power (OP) = 1.00.",results,Results,7,2,2,0956797620958638
"On the basis of an a priori power analysis (G*Power) using the reported effect size from Experiment 1, we estimated that a required sample size of 18 participants would be necessary to achieve an effect size (f ) of .35 (power = .80, α = .01).",method,Method,9,1,3,0956797620958638
"Based on the reported effect size from Experiment 3, an a priori power analysis (G*Power) estimated that a sample size of 18 participants would be necessary to achieve an effect size (f ) of .35 (power = .80, α = .01).",method,Method,18,1,1,0956797620958638
"Is the learning function monotonic, is it discontinuous with a critical threshold, or does it follow the well-known reaction time power law (Logan, 1988)?",discussion,Discussion,22,4,5,0956797620958638
"This sample size was based on those used in previous studies on stress and memory in our lab (Schwabe, Bohringer, Chatterjee, & Schachinger, 2008;Vogel & Schwabe, 2016) and an a priori power calculation using G*Power 3 (Faul, Erdfelder, Lang, & Buchner, 2007).",method,Participants,3,1,2,0956797620958650
The power analysis indicated that a sample of 96 would be sufficient to detect a medium-size effect (f = .20) in a mixed-design analysis of variance (ANOVA) with a power of .90.,method,Participants,3,1,3,0956797620958650
"Thus, researchers can freely choose any method to identify the top predictors in a large data set as long as the data meet the assumptions of the method and researchers have sufficient computing power.",intro,[div-01],1,5,4,0956797620959594
"A power analysis with this correlation, an α of .05 (one-tailed), and power equal to 80% indicated that we needed to recruit 205 participants.",method,Method,9,2,3,0956797620959594
"A power analysis based on this effect size, an α of .05 (one-tailed), and power equal to 90%, indicated that we needed to recruit 266 participants.",method,Method,12,2,3,0956797620959594
"We did not use an a priori effect-size estimate, though this sample afforded 80% power to detect a small effect size (r) of .12.",method,Method,6,2,3,0956797620960011
"This sample size was targeted to facilitate exploratory analyses involving participant sex and target sex (see the Supplemental Material), and it provided more than 99% power to detect the relation between WTR and contact comfort observed in Study 1.",method,Method,8,2,3,0956797620960011
"This sample size afforded 80% power assuming a small effect of the manipulation (d = 0.20), with a target intercept variance component of .15 and a target slope variance of .02 (Westfall et al., 2014).",method,Method,11,2,3,0956797620960011
"Arend and Schäfer (2019), we determined that our total sample size (and the number of trials described below) would be sufficient (i.e., statistical power > 80%) to detect a small effect (i.e., β = 0.1) of trial-level predictors, which was the main focus of our analyses.",method,Method,6,1,3,0956797620963615
"We used G*Power (Version 3.1;Faul, Erdfelder, Lang, & Buchner, 2007) to determine the sample size required for the between-subjects, two-tailed t test with uneven groups.",method,Method,11,2,4,0956797620963615
We used the following parameters: Cohen's d = 0.5; α = .05; power = 80%; allocation ratio N2/N1 = 0.25.,method,Method,11,2,5,0956797620963615
"We conducted power analyses (available on OSF) for each of our confirmatory analyses, with an α of .05, two-tailed.",method,Participants,6,4,1,0956797620965536
"Power was .86 for detecting a medium-sized association between narcissism levels and leadership emergence (incidence-rate ratio [IRR] = 1.30, estimated from Poorthuis et al., 2021, and adjusted for overdispersion; N = 331 children).",method,Participants,6,4,2,0956797620965536
